Date,Source,Category,Description,Amount EUR
2026-05-21,Galicia_TC_Visa,Small expenses,AB SERVICIOS SELECTA E,-2.90
2026-05-21,Galicia_TC_Visa,Third-party transfers,Google FI 2FzZ5J A53467706 [converted from USD],-21.60
2026-05-21,Galicia_TC_Visa,School fees,IESE BUSINESS SCHOOL,-7.65
2026-05-22,Galicia_TC_Visa,Small expenses,DUBLINS,-7.50
2026-05-22,Galicia_TC_Visa,Small expenses,DUBLINS,-2.85
2026-05-22,Galicia_TC_Visa,Small expenses,DUBLINS,-3.50
2026-05-23,Galicia_TC_Visa,Third-party transfers,COHETE,-20.00
2026-05-23,Galicia_TC_Visa,Small expenses,DUBLINS,-3.50
2026-05-23,Galicia_TC_Visa,Small expenses,DUBLINS,-4.20
2026-05-23,Galicia_TC_Visa,Third-party transfers,SQ *BEMBA SMASH BURGER,-69.85
2026-05-23,Galicia_TC_Visa,Small expenses,TAXI JUJYGAS,-6.45
2026-05-24,Galicia_TC_Visa,Third-party transfers,LADY BABKA BISTROT,-69.20
2026-05-25,Galicia_TC_Visa,Third-party transfers,Cookidoo Vorwerk [converted from USD],-54.28
2026-05-25,Galicia_TC_Visa,Small expenses,METAPAY*2NXXZQZKN2 [converted from USD],-11.19
2026-05-26,Galicia_TC_Visa,Restaurants,ARBITRADE BARCELONA 2,-2.10
2026-05-26,Galicia_TC_Visa,School fees,IESE BUSINESS SCHOOL,-2.05
2026-05-26,Galicia_TC_Visa,School fees,IESE SUR,-2.50
2026-05-27,Galicia_TC_Visa,Small expenses,AB SERVICIOS SELECTA E,-2.90
2026-05-27,Galicia_TC_Visa,Small expenses,DONDE CHICHO,-1.80
2026-05-27,Galicia_TC_Visa,Small expenses,SUPER BODEGA,-3.00
2026-05-28,Galicia_TC_Visa,Third-party transfers,CHACO,-20.50
2026-05-28,Galicia_TC_Master,Small expenses,DELICATESSEN ARG,-17.25
2026-05-28,Galicia_TC_Visa,Small expenses,I FIL GOOD 01,-2.80
2026-05-28,Galicia_TC_Visa,School fees,IESE BUSINESS SCHOOL,-5.35
2026-05-29,Galicia_TC_Visa,Home/Groceries,CAPRABO 7908,-47.16
2026-05-29,Galicia_TC_Master,Small expenses,CORP. ALIM. GUIS,-6.69
2026-05-29,Galicia_TC_Master,Third-party transfers,Honest Greens,-40.35
2026-05-29,Galicia_TC_Master,Small expenses,MP**EXPSANTAII,-11.17
2026-05-29,Galicia_TC_Visa,Small expenses,TAXI LLIC. 289,-7.30
2026-05-29,Galicia_TC_Master,Shopping,WWW.AMAZON* NQ75,-118.79
2026-05-30,Galicia_TC_Visa,Small expenses,ALDI BCN VIA AUGUSTA,-7.14
2026-05-30,Galicia_TC_Visa,Third-party transfers,FRANKFURT PEDRALBES [converted from USD],-33.33
2026-05-30,Galicia_TC_Visa,School fees,LORETO ABAT OLIBA,-5.50
2026-05-30,Galicia_TC_Visa,School fees,LORETO ABAT OLIBA,-2.50
2026-05-31,Galicia_TC_Visa,Restaurants,BARBER BOSS,-17.00
2026-05-31,Galicia_TC_Visa,Third-party transfers,RIBS DOCTOR FLEMING,-62.00
2026-05-31,Galicia_TC_Visa,Small expenses,SONIA REMON RODRIGUEZ,-9.50
2026-06-01,Galicia_TC_Master,Third-party transfers,COPERNIC 47,-40.12
2026-06-01,Galicia_TC_Visa,Small expenses,FABORIT LILLA DIAGONAL,-13.30
2026-06-01,Galicia_TC_Master,Subscriptions/Recurring,Google Workspace [converted from USD],-54.10
2026-06-01,Galicia_TC_Master,Small expenses,LLEGUMS & CO,-16.81
2026-06-01,Galicia_TC_Visa,Small expenses,UBER *EATS HELP.UBER.COM,-13.18
2026-06-02,Galicia_TC_Master,Travel,BKG*HOTEL AT BOO,-227.47
2026-06-02,Santander_ES,Shopping,"Compra Ikea Iberica Web, San Sebastian, Tarjeta 5489010505382414 , Comision 0,00",-201.21
2026-06-02,Galicia_TC_Visa,Third-party transfers,PANOT MOBILITY S,-150.90
2026-06-02,Galicia_TC_Visa,Third-party transfers,PANOT MOBILITY S,-60.40
2026-06-02,Santander_ES,Subscriptions/Recurring,"Recibo Axa Seguros Generales Cif A-60917978, Concepto: 20260601-20260701 Nif:t0946516 Av Pearson 21 08034 Barcelona Mas Informacion En Www.axa.es Y Mediador Ccio: 0,00 Pol92217234",-163.97
2026-06-02,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bblrbwf Ref. Mandato Ca0010007483, De",-185.67
2026-06-02,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bblrbwl Ref. Mandato Ca0010007483, De",-35.00
2026-06-02,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bblrbwp Ref. Mandato Ca0010007483, De",-310.00
2026-06-02,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bblrdsj Ref. Mandato Ca0010007483, De",-289.33
2026-06-02,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bblrdsk Ref. Mandato Ca0010007483, De",-517.50
2026-06-02,Galicia_TC_Master,Third-party transfers,Tuset,-23.30
2026-06-02,Galicia_TC_Visa,Travel,VUELING AIRLINES,-396.02
2026-06-03,Galicia_TC_Visa,Small expenses,FABORIT LILLA DIAGONAL,-8.50
2026-06-03,Galicia_TC_Visa,Small expenses,REMARKABLE OPS B,-3.99
2026-06-03,Galicia_TC_Visa,Third-party transfers,SQ *LA BURGUESA FLEMING,-42.50
2026-06-04,Galicia_TC_Master,Small expenses,COPERNIC 47,-13.39
2026-06-04,Galicia_TC_Master,Small expenses,CORP. ALIM. GUIS,-18.72
2026-06-04,Galicia_TC_Master,Third-party transfers,MERCADONA C/ARIB,-96.61
2026-06-04,Santander_ES,Subscriptions/Recurring,"Recibo Aigues De Barcelona, Concepto: Suministro De Agua Contrato N 1600253",-112.51
2026-06-04,Galicia_TC_Visa,Restaurants,ZARA BARCELONA LILLA,-19.95
2026-06-05,Galicia_TC_Visa,Restaurants,AEROPUERTO DE BARCELON,-5.99
2026-06-05,Galicia_TC_Visa,Restaurants,CAFE DE FINCAS SL,-2.70
2026-06-05,Galicia_TC_Master,Small expenses,COPERNIC 47,-11.13
2026-06-05,Galicia_TC_Visa,Small expenses,Captain Candy,-4.89
2026-06-05,Galicia_TC_Visa,Small expenses,Firenze Hudson arrivi,-3.40
2026-06-05,Galicia_TC_Master,Third-party transfers,LOGICA ECOLOGICA,-38.83
2026-06-05,Galicia_TC_Master,Small expenses,MERCADONA PLACA,-10.24
2026-06-05,Galicia_TC_Visa,Third-party transfers,SESSANTAROSSO,-43.00
2026-06-05,Galicia_TC_Master,Third-party transfers,SQ *GASTROGROWTH,-28.30
2026-06-05,Galicia_TC_Master,Third-party transfers,SumUp  *My Guest,-24.00
2026-06-05,Galicia_TC_Master,Small expenses,TAXI-LLIC 0513,-15.15
2026-06-05,Galicia_TC_Visa,Third-party transfers,YOOTOO BCN GIRAFFE WORLD,-43.25
2026-06-06,Galicia_TC_Visa,Third-party transfers,100 POVERI RISTORANTE,-28.00
2026-06-06,Galicia_TC_Master,Small expenses,BLT,-3.80
2026-06-06,Galicia_TC_Visa,Restaurants,PASTICCERIA BAR  SAN FIR,-8.00
2026-06-06,Galicia_TC_Visa,Small expenses,VENCHI FI Calimaruzza,-6.20
2026-06-07,Galicia_TC_Visa,Restaurants,Food Court Imbarchi Aero,-7.00
2026-06-07,Galicia_TC_Visa,Small expenses,LIBRERIE GIUNTI SRL,-4.00
2026-06-07,Galicia_TC_Visa,Small expenses,MERCATO CENTRALE FIRENZE,-16.00
2026-06-07,Galicia_TC_Master,Third-party transfers,RIBS DOCTOR FLEM,-27.25
2026-06-07,Galicia_TC_Visa,Small expenses,T SHIRT GALLERY [converted from USD],-16.55
2026-06-08,Galicia_TC_Visa,Small expenses,AUTOLINEE TOSCANE,-1.70
2026-06-08,Galicia_TC_Visa,Home/Groceries,CASA AMETLLER MITRE,-66.06
2026-06-08,Santander_ES,Restaurants,"Compra Cooltra, Barcelona, Tarjeta 5489010505382414 , Comision 0,00",-3.10
2026-06-08,Galicia_TC_Visa,Small expenses,FABORIT LILLA DIAGONAL,-10.00
2026-06-08,Galicia_TC_Master,Small expenses,OYSHO,-15.99
2026-06-08,Galicia_TC_Master,Small expenses,PRIMARK PLAZA CA,-12.50
2026-06-08,Santander_ES,Small expenses,"Pago Movil En Taxi L-3959 P., Terrassa Es, Tarj. :*382414",-10.85
2026-06-08,Santander_ES,Rent,Transferencia Inmediata A Favor De Helena Hernandez,-1492.29
2026-06-08,Santander_ES,Small expenses,Transferencia Inmediata A Favor De Rosario Allende Escuti,-1.13
2026-06-08,Santander_ES,Home/Groceries,Transferencia Inmediata A Favor De Solc Ecoserveis S.l.,-57.31
2026-06-09,Galicia_TC_Master,Small expenses,BLOOME BY SAHSA,-7.40
2026-06-09,Galicia_TC_Visa,Home/Groceries,CONDIS DOCTOR FERRAN 49,-5.10
2026-06-09,Galicia_TC_Visa,Small expenses,FABORIT LILLA DIAGONAL,-8.50
2026-06-09,Galicia_TC_Master,Home/Groceries,FARMACIA LUCIA F,-8.00
2026-06-10,Galicia_TC_Visa,Third-party transfers,CORP. ALIM. GUISSONA T488,-22.17
2026-06-10,Galicia_TC_Master,Small expenses,Tuset,-4.00
2026-06-11,Galicia_TC_Visa,Third-party transfers,CORP. ALIM. GUISSONA T488,-45.93
2026-06-11,Galicia_TC_Visa,Small expenses,SUPER EXPRESS 2,-8.49
2026-06-12,Galicia_TC_Master,Home/Groceries,CASA AMETLLER MI,-10.98
2026-06-12,Galicia_TC_Master,Small expenses,LA SIRENA - BCN,-12.52
2026-06-12,Galicia_TC_Visa,Third-party transfers,PANOT MOBILITY S,-60.40
2026-06-12,Galicia_TC_Master,Small expenses,SQ *GASTROGROWTH,-4.20
2026-06-12,Galicia_TC_Master,Third-party transfers,UCM,-560.00
2026-06-13,Galicia_TC_Master,Third-party transfers,DELICATESSEN ARG,-32.90
2026-06-13,Galicia_TC_Master,Third-party transfers,MP**EXPSANTAII,-27.39
2026-06-13,Galicia_TC_Master,Small expenses,MP**EXPSANTAII,-14.02
2026-06-13,Galicia_TC_Visa,Third-party transfers,PANOT MOBILITY S,-150.90
2026-06-13,Galicia_TC_Visa,Small expenses,UBER   *ONE MEMB G8ZH65J8,-4.99
2026-06-14,Galicia_TC_Master,Third-party transfers,KEIK PA CONSORTI,-39.40
2026-06-14,Galicia_TC_Visa,Small expenses,MP**EXPSANTAII,-13.85
2026-06-15,Galicia_TC_Visa,Third-party transfers,ANTHROPIC* CLAUDE SUB,-21.78
2026-06-15,Galicia_TC_Master,Small expenses,CORP. ALIM. GUIS,-13.92
2026-06-15,Santander_ES,Restaurants,"Compra Sq *moodbrunch, Barcelona, Tarjeta 5489010505382414 , Comision 0,00",-14.53
2026-06-15,Galicia_TC_Visa,Shopping,DECATHLON LILLA,-9.98
2026-06-15,Santander_ES,Subscriptions/Recurring,"Recibo Telefonica De Espana Sau, Concepto: Fijoxxxxxx493. jun",-58.00
2026-06-15,Santander_ES,Subscriptions/Recurring,"Recibo Telefonica De Espana Sau, Concepto: Fijoxxxxxx493.jun",-58.00
2026-06-15,Santander_ES,Third-party transfers,"Transferencia De Societe Air France, Concepto 112365020101-..",600.00
2026-06-15,Santander_ES,Third-party transfers,"Transferencia De Societe Air France, Concepto 112365020201-..",600.00
2026-06-15,Santander_ES,Third-party transfers,"Transferencia De Societe Air France, Concepto 112365020301-..",600.00
2026-06-15,Santander_ES,Third-party transfers,"Transferencia De Societe Air France, Concepto 112365020401-..",600.00
2026-06-16,Galicia_TC_Master,Third-party transfers,MERCADONA COLMEN,-298.14
2026-06-16,Galicia_TC_Master,Restaurants,RESTAURANTE KYOK,-18.55
2026-06-16,Galicia_TC_Visa,Third-party transfers,SECRETS ILLA2,-24.30
2026-06-16,Galicia_TC_Master,Third-party transfers,SP MIRA FERTILIT,-122.04
2026-06-16,Galicia_TC_Master,Small expenses,STARBUCKS COFFEE,-4.80
2026-06-16,Galicia_TC_Visa,Small expenses,STARBUCKS COFFEE DIAGONAL,-4.40
2026-06-17,Galicia_TC_Visa,Small expenses,EXUBERANT,-3.50
2026-06-17,Galicia_TC_Master,Third-party transfers,I FIL GOOD 01,-60.00
2026-06-17,Galicia_TC_Visa,School fees,IESE SUR,-1.50
2026-06-17,Santander_ES,Third-party transfers,"Recibo Aquatec Soluciones Medioambientales, Sau Nº Recibo 0049 4734 755 Bblshqy Ref. Mandato 8635799-20260511- 79, De",-44.84
2026-06-17,Santander_ES,Third-party transfers,"Recibo Aquatec Soluciones Medioambientales, Sau Nº Recibo 0049 4734 755 Bblshqy Ref. Mandato 8635799-20260511-79, De",-44.84
2026-06-17,Galicia_TC_Visa,Small expenses,TAXI LLIC.2532,-8.00
2026-06-17,Santander_ES,Home/Groceries,Transferencia Inmediata A Favor De Solc Ecoserveis S.l.,-66.99
2026-06-18,Galicia_TC_Visa,Third-party transfers,CREP NOVA,-36.00
2026-06-18,Galicia_TC_Visa,Small expenses,MP**EXPSANTAII,-6.45
2026-06-19,Galicia_TC_Master,Small expenses,JUGUETES TIO SAM,-12.95
2026-06-19,Galicia_TC_Master,Small expenses,STARBUCKS COFFEE,-4.11
2026-06-19,Galicia_TC_Visa,Small expenses,STARBUCKS COFFEE DIAGONAL,-4.40
2026-06-19,Galicia_TC_Visa,Small expenses,TAXI LIC 313,-8.40
2026-06-21,Galicia_TC_Visa,Small expenses,COPERNIC 47,-3.95
2026-06-21,Galicia_TC_Master,Third-party transfers,ES0205,-58.94
2026-06-21,Galicia_TC_Visa,Third-party transfers,Google FI QWTV4G A62186891 [converted from USD],-21.60
2026-06-21,Galicia_TC_Visa,Shopping,IKEA GLORIES HFB,-14.44
2026-06-21,Galicia_TC_Visa,Small expenses,OAKBERRY ACAI,-17.90
2026-06-22,Galicia_TC_Visa,Home/Groceries,CAPRABO 7908,-7.22
2026-06-22,Galicia_TC_Master,Small expenses,CLAREL,-5.69
2026-06-22,Galicia_TC_Master,Small expenses,CORP. ALIM. GUIS,-1.70
2026-06-22,Galicia_TC_Master,Small expenses,FLORS OLIVA PL.,-10.00
2026-06-22,Galicia_TC_Visa,School fees,IESE BUSINESS SCHOOL,-7.15
2026-06-22,Galicia_TC_Visa,School fees,IESE SUR,-1.60
2026-06-22,Galicia_TC_Visa,School fees,IESE SUR,-3.90
2026-06-23,Galicia_TC_Visa,Home/Groceries,CAPRABO 7908,-27.08
2026-06-23,Galicia_TC_Master,Small expenses,COPERNIC 47,-2.19
2026-06-23,Santander_ES,Subscriptions/Recurring,"Compra Apple.com/bill, Cork, Tarjeta 5489010505382414 , Comision 0,00",-11.99
2026-06-23,Galicia_TC_Master,Small expenses,DJA LIFE PARTNER,-15.00
2026-06-23,Galicia_TC_Master,Third-party transfers,Mol*KoRo Handels,-59.75
2026-06-23,Galicia_TC_Master,Shopping,WWW.AMAZON* Y59K,-80.59
2026-06-25,Galicia_TC_Master,Shopping,DECATHLON LILLA,-49.95
2026-06-25,Galicia_TC_Master,Small expenses,FABORIT DESARROL,-8.50
2026-06-25,Galicia_TC_Master,Small expenses,HM ES0120,7.43
2026-06-25,Santander_ES,Home/Groceries,Transferencia Inmediata A Favor De Solc Ecoserveis S.l.,-46.79
2026-06-26,Galicia_TC_Master,Home/Groceries,FARMACIA SANCHIS,-47.70
2026-06-27,Galicia_TC_Master,Small expenses,SUMA SUPERMERCAD,-7.99
2026-06-27,Galicia_TC_Master,Third-party transfers,VERITAS MANDRI,-73.10
2026-06-28,Galicia_TC_Master,Small expenses,CORP. ALIM. GUIS,-15.16
2026-06-28,Galicia_TC_Master,Shopping,DECATHLON LILLA,-22.98
2026-06-28,Galicia_TC_Master,Small expenses,GELATI DINO ILLA,-9.80
2026-06-28,Galicia_TC_Master,Small expenses,PARROQUIA BONANO,-5.33
2026-06-28,Galicia_TC_Master,Third-party transfers,SP BELEVELS,-151.15
2026-06-29,Galicia_TC_Master,Home/Groceries,FARMACIA SANCHIS,-23.55
2026-06-29,Galicia_TC_Master,Shopping,IKEA DIAGONAL HF,-7.98
2026-06-29,Galicia_TC_Master,Small expenses,Tuset,-13.70
2026-06-30,Galicia_TC_Master,Third-party transfers,Avolta BCN T1 Hu,-54.00
2026-06-30,Galicia_TC_Master,Shopping,DECATHLON LILLA,49.95
2026-06-30,Galicia_TC_Master,Third-party transfers,MERCADONA PLACA,-62.84
2026-06-30,Santander_ES,Restaurants,"Pago Movil En 13996 Barcelona, Barcelona Es, Tarj. :*382414",-15.99
2026-06-30,Galicia_TC_Master,Small expenses,TAXI LLIC. 6275,-10.05
2026-07-01,Galicia_TC_Master,Subscriptions/Recurring,Google Workspace [converted from USD],-54.10
2026-07-02,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bbltyrt Ref. Mandato Ca0010007483, De",-94.00
2026-07-02,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bbltyrv Ref. Mandato Ca0010007483, De",-21.00
2026-07-02,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bbltyrw Ref. Mandato Ca0010007483, De",-310.00
2026-07-02,Santander_ES,School fees,"Recibo Fundacion Abat Oliba Nº Recibo 0049 4734 755 Bbltyrx Ref. Mandato Ca0010007483, De",-517.50
2026-07-02,Santander_ES,Rent,Transferencia Inmediata A Favor De Helena Hernandez,-1492.29
2026-07-02,Santander_ES,Third-party transfers,Transferencia Inmediata A Favor De Javier Roberts,-500.00
